order_id,sales,profit,profit_ratio,discount
CA-2015-103940,58,16,"0,28",0
CA-2015-103940,137,46,"0,34","0,2"
CA-2015-103989,5,1,"0,28","0,2"
CA-2015-103989,12,4,"0,34","0,2"
CA-2015-103989,20,6,"0,28","0,2"
CA-2015-103989,26,2,"0,07","0,2"
CA-2015-103989,34,-26,"-0,77","0,7"
CA-2015-103989,170,53,"0,31","0,2"
CA-2015-103989,324,28,"0,09","0,2"
CA-2015-104178,6,3,"0,42",0
CA-2015-104178,26,12,"0,48",0
CA-2015-104178,49,13,"0,27",0
CA-2015-104178,95,30,"0,32",0
CA-2015-104269,458,51,"0,11","0,2"
CA-2015-104283,86,22,"0,26",0
CA-2015-104283,224,54,"0,24",0
CA-2015-104283,306,0,0,0
CA-2015-104402,66,31,"0,47",0
CA-2015-104472,60,19,"0,33","0,2"
CA-2015-104472,73,22,"0,3",0
CA-2015-104563,21,9,"0,46",0
CA-2015-104563,205,0,0,0
CA-2015-104563,437,22,"0,05","0,2"
CA-2015-104563,482,54,"0,11","0,2"
CA-2015-104738,2,-4,"-1,6","0,8"
CA-2015-104738,13,5,"0,36","0,2"
CA-2015-104738,48,14,"0,3","0,2"
CA-2015-104738,218,19,"0,09","0,2"
CA-2015-104738,329,29,"0,09","0,2"
CA-2015-104773,60,6,"0,1","0,2"
CA-2015-104780,32,11,"0,33",0
CA-2015-104808,17,6,"0,35","0,2"
CA-2015-104829,22,10,"0,45",0
CA-2015-104976,35,17,"0,49",0
CA-2015-105165,3,-5,"-1,65","0,8"
CA-2015-105165,22,4,"0,16","0,2"
CA-2015-105165,47,-3,"-0,06","0,2"
CA-2015-105165,197,15,"0,08","0,2"
CA-2015-105165,201,-23,"-0,11","0,3"
CA-2015-105172,19,9,"0,48",0
CA-2015-105249,7,0,"0,02",0
CA-2015-105249,41,20,"0,48",0
CA-2015-105249,411,-5,"-0,01","0,15"
CA-2015-105270,30,8,"0,26",0
CA-2015-105270,113,11,"0,1","0,2"
CA-2015-105340,7,-11,"-1,6","0,8"
CA-2015-105417,10,-18,"-1,75","0,8"
CA-2015-105417,77,-54,"-0,7","0,6"
CA-2015-105648,626,-23,"-0,04","0,2"
CA-2015-105872,70,26,"0,38","0,2"
CA-2015-105893,666,13,"0,02",0
CA-2015-105984,611,-35,"-0,06","0,3"
CA-2015-105984,1050,-210,"-0,2","0,4"
CA-2015-106054,13,5,"0,41",0
CA-2015-106229,269,-210,"-0,78","0,5"
CA-2015-106264,3,1,"0,32",0
CA-2015-106264,12,0,"0,01",0
CA-2015-106376,168,63,"0,38","0,2"
CA-2015-106376,1113,111,"0,1","0,2"
CA-2015-106439,11,5,"0,46",0
CA-2015-106439,12,4,"0,3",0
CA-2015-106439,16,5,"0,34","0,2"
CA-2015-106439,19,6,"0,31","0,2"
CA-2015-106439,65,30,"0,47",0
CA-2015-106439,80,21,"0,26",0
CA-2015-106439,146,-9,"-0,06","0,2"
CA-2015-106439,252,48,"0,19",0
CA-2015-106439,406,12,"0,03",0
CA-2015-106572,264,20,"0,08","0,2"
CA-2015-106719,8,3,"0,33","0,2"
CA-2015-106726,1261,328,"0,26",0
CA-2015-106803,25,7,"0,28",0
CA-2015-106803,120,48,"0,4",0
CA-2015-106810,311,23,"0,08","0,2"
CA-2015-106971,476,95,"0,2","0,2"
CA-2015-107139,181,68,"0,38","0,2"
CA-2015-107153,46,12,"0,27",0
CA-2015-107181,34,16,"0,47",0
CA-2015-107181,83,29,"0,35","0,2"
CA-2015-107398,3,-2,"-0,8","0,7"
CA-2015-107398,7,-5,"-0,7","0,7"
CA-2015-107398,21,-17,"-0,8","0,7"
CA-2015-107454,35,16,"0,46",0
CA-2015-107454,89,24,"0,27",0
CA-2015-107524,11,5,"0,47",0
CA-2015-107524,36,17,"0,48",0
CA-2015-107573,23,8,"0,33","0,2"
CA-2015-107594,6,2,"0,39",0
CA-2015-107594,74,20,"0,27",0
CA-2015-107706,16,6,"0,38","0,2"
CA-2015-107755,115,50,"0,43",0
CA-2015-107769,258,75,"0,29",0
CA-2015-107811,100,-1,"-0,01","0,2"
CA-2015-107811,562,70,"0,13","0,2"
CA-2015-107818,6,3,"0,45",0
CA-2015-107818,304,91,"0,3",0
CA-2015-107818,486,19,"0,04",0
CA-2015-107818,976,122,"0,13","0,2"
CA-2015-107916,13,6,"0,48",0
CA-2015-107916,13,4,"0,35","0,2"
CA-2015-108147,68,26,"0,38","0,2"
CA-2015-108147,1677,84,"0,05",0
CA-2015-108182,9,-15,"-1,65","0,8"
CA-2015-108189,5,1,"0,31","0,2"
CA-2015-108189,7,0,"-0,01","0,2"
CA-2015-108189,9,3,"0,36","0,2"
CA-2015-108189,13,5,"0,36","0,2"
CA-2015-108189,15,-3,"-0,21","0,2"
CA-2015-108189,230,20,"0,09","0,2"
CA-2015-108189,318,107,"0,34","0,2"
CA-2015-108273,36,13,"0,35","0,2"
CA-2015-108273,57,-75,"-1,33","0,6"
CA-2015-108609,1422,-735,"-0,52","0,4"
CA-2015-108707,10,4,"0,35","0,2"
CA-2015-108861,137,51,"0,38","0,2"
CA-2015-108903,14,5,"0,34","0,2"
CA-2015-108903,56,4,"0,08","0,2"
CA-2015-108903,142,-4,"-0,03","0,2"
CA-2015-109043,91,30,"0,33","0,2"
CA-2015-109043,152,17,"0,11","0,2"
CA-2015-109127,17,8,"0,46",0
CA-2015-109134,20,9,"0,44",0
CA-2015-109218,32,10,"0,32",0
CA-2015-109232,546,87,"0,16",0
CA-2015-109302,196,98,"0,5",0
CA-2015-109491,20,7,"0,34",0
CA-2015-109491,62,22,"0,36",0
CA-2015-109680,386,54,"0,14",0
CA-2015-109855,24,8,"0,35","0,2"
CA-2015-109855,357,57,"0,16",0
CA-2015-109890,36,10,"0,28",0
CA-2015-109897,85,32,"0,37",0
CA-2015-109897,806,50,"0,06","0,2"
CA-2015-109904,18,4,"0,25",0
CA-2015-109918,21,10,"0,47",0
CA-2015-109918,27,7,"0,27",0
CA-2015-109918,84,31,"0,38","0,2"
CA-2015-109932,11,4,"0,35","0,2"
CA-2015-109932,237,21,"0,09","0,2"
CA-2015-110030,24,-14,"-0,6","0,6"
CA-2015-110065,16,7,"0,44",0
CA-2015-110065,136,37,"0,27",0
CA-2015-110072,94,13,"0,14","0,2"
CA-2015-110100,302,38,"0,13","0,2"
CA-2015-110184,250,45,"0,18",0
CA-2015-110184,256,29,"0,11","0,2"
CA-2015-110219,128,-9,"-0,07","0,3"
CA-2015-110352,24,9,"0,38","0,2"
CA-2015-110408,276,11,"0,04",0
CA-2015-110408,546,71,"0,13",0
CA-2015-110408,1395,363,"0,26",0
CA-2015-110422,25,4,"0,16","0,2"
CA-2015-110527,21,10,"0,46",0
CA-2015-110555,87,24,"0,28",0
CA-2015-110555,106,9,"0,09","0,2"
CA-2015-110555,217,91,"0,42",0
CA-2015-110611,84,-14,"-0,16","0,2"
CA-2015-110639,26,12,"0,48",0
CA-2015-110639,46,23,"0,49",0
CA-2015-110786,14,5,"0,33","0,2"
CA-2015-110786,21,10,"0,45",0
CA-2015-110786,25,8,"0,33",0
CA-2015-110786,71,24,"0,34",0
CA-2015-110786,192,19,"0,1","0,2"
CA-2015-110786,275,126,"0,46",0
CA-2015-110786,768,288,"0,38","0,2"
CA-2015-110849,11,4,"0,33",0
CA-2015-110849,12,4,"0,31",0
CA-2015-110849,13,4,"0,29",0
CA-2015-110849,288,97,"0,34","0,2"
CA-2015-111003,45,21,"0,46",0
CA-2015-111003,289,84,"0,29",0
CA-2015-111059,13,4,"0,33","0,2"
CA-2015-111059,84,27,"0,33","0,2"
CA-2015-111150,30,12,"0,39",0
CA-2015-111150,48,16,"0,34",0
CA-2015-111157,3,1,"0,31","0,2"
CA-2015-111157,151,32,"0,21","0,2"
CA-2015-111192,1368,260,"0,19",0
CA-2015-111360,6,-5,"-0,8","0,7"
CA-2015-111451,28,9,"0,34","0,2"
CA-2015-111451,79,-63,"-0,8","0,7"
CA-2015-111451,218,-25,"-0,11","0,2"
CA-2015-111451,230,20,"0,09","0,2"
CA-2015-111451,300,79,"0,26","0,2"
CA-2015-111500,13,5,"0,36",0
CA-2015-111500,18,8,"0,46",0
CA-2015-111500,114,53,"0,46",0
CA-2015-111500,340,122,"0,36",0
CA-2015-111773,14,5,"0,35","0,2"
CA-2015-111857,49,23,"0,47",0
CA-2015-111871,1198,70,"0,06","0,15"
CA-2015-111899,5,2,"0,34","0,2"
CA-2015-111899,38,3,"0,08","0,2"
CA-2015-111934,12,5,"0,45",0
CA-2015-111934,35,17,"0,47",0
CA-2015-111962,10,3,"0,31","0,2"
CA-2015-111962,808,153,"0,19",0
CA-2015-112158,47,16,"0,34","0,2"
CA-2015-112158,120,53,"0,44",0
CA-2015-112158,884,-110,"-0,13","0,2"
CA-2015-112291,11,6,"0,5",0
CA-2015-112291,62,22,"0,36",0
CA-2015-112291,160,58,"0,36",0
CA-2015-112326,4,-5,"-1,55","0,8"
CA-2015-112326,12,4,"0,36","0,2"
CA-2015-112326,273,-65,"-0,24","0,2"
CA-2015-112403,1,-1,"-0,7","0,7"
CA-2015-112718,1,-1,"-0,73","0,7"
CA-2015-112837,128,22,"0,17",0
CA-2015-112851,183,86,"0,47",0
CA-2015-113047,12,4,"0,32",0
CA-2015-113166,10,3,"0,36","0,2"
CA-2015-113257,9,-3,"-0,3","0,6"
CA-2015-113257,320,96,"0,3","0,2"
CA-2015-113271,6,2,"0,4",0
CA-2015-113271,14,5,"0,33","0,2"
CA-2015-113271,32,16,"0,48",0
CA-2015-113271,120,7,"0,06","0,15"
CA-2015-113320,9,4,"0,48",0
CA-2015-113320,9,1,"0,07",0
CA-2015-113320,13,5,"0,36",0
CA-2015-113362,11,5,"0,46",0
CA-2015-113362,449,9,"0,02",0
CA-2015-113383,82,22,"0,27",0
CA-2015-113383,255,76,"0,3",0
CA-2015-113579,90,42,"0,46",0
CA-2015-113768,8,4,"0,48",0
CA-2015-113768,279,21,"0,08","0,2"
CA-2015-113859,340,-10,"-0,03","0,3"
CA-2015-113880,17,6,"0,33","0,2"
CA-2015-113880,634,-172,"-0,27","0,3"
CA-2015-113887,55,27,"0,48",0
CA-2015-113929,35,11,"0,3",0
CA-2015-113929,40,14,"0,36","0,2"
CA-2015-113929,41,19,"0,47",0
CA-2015-113964,18,7,"0,38","0,2"
CA-2015-114125,3,1,"0,49",0
CA-2015-114125,24,4,"0,17",0
CA-2015-114125,42,14,"0,34","0,2"
CA-2015-114181,22,5,"0,24","0,2"
CA-2015-114181,350,-217,"-0,62","0,5"
CA-2015-114195,3,-3,"-0,83","0,7"
CA-2015-114195,22,-18,"-0,8","0,7"
CA-2015-114195,69,16,"0,24","0,2"
CA-2015-114251,13,-9,"-0,67","0,7"
CA-2015-114251,52,-6,"-0,13","0,2"
CA-2015-114251,58,17,"0,29","0,2"
CA-2015-114251,274,-34,"-0,13","0,2"
CA-2015-114251,1080,-95,"-0,09","0,2"
CA-2015-114314,7,3,"0,47",0
CA-2015-114314,9,4,"0,44",0
CA-2015-114321,20,9,"0,46",0
CA-2015-114321,500,145,"0,29",0
CA-2015-114321,897,422,"0,47",0
CA-2015-114335,337,17,"0,05","0,2"
CA-2015-114433,150,52,"0,35",0
CA-2015-114510,21,6,"0,27",0
CA-2015-114510,33,11,"0,34","0,2"
CA-2015-114510,62,20,"0,33","0,2"
CA-2015-114510,81,3,"0,04",0
CA-2015-114510,83,7,"0,08",0
CA-2015-114517,53,-20,"-0,37","0,4"
CA-2015-114517,57,16,"0,28",0
CA-2015-114643,15,5,"0,33",0
CA-2015-114790,15,7,"0,47",0
CA-2015-114790,33,14,"0,43",0
CA-2015-114790,147,38,"0,26",0
CA-2015-114790,588,165,"0,28",0
CA-2015-115049,154,38,"0,25","0,2"
CA-2015-115056,26,2,"0,08","0,2"
CA-2015-115084,605,145,"0,24",0
CA-2015-115133,3,0,"0,15","0,2"
CA-2015-115133,17,1,"0,07","0,2"
CA-2015-115133,33,11,"0,34","0,2"
CA-2015-115161,291,3,"0,01","0,15"
CA-2015-115259,5,2,"0,35","0,2"
CA-2015-115259,24,7,"0,31","0,2"
CA-2015-115259,40,15,"0,36","0,2"
CA-2015-115259,130,44,"0,34","0,2"
CA-2015-115336,14,-24,"-1,65","0,8"
CA-2015-115357,63,23,"0,36",0
CA-2015-115791,19,-14,"-0,73","0,7"
CA-2015-115791,30,10,"0,34","0,2"
CA-2015-115791,124,-31,"-0,25","0,4"
CA-2015-115791,127,29,"0,23","0,2"
CA-2015-115812,7,2,"0,27",0
CA-2015-115812,19,6,"0,31","0,2"
CA-2015-115812,49,14,"0,29",0
CA-2015-115812,115,34,"0,3",0
CA-2015-115812,907,91,"0,1","0,2"
CA-2015-115812,911,68,"0,08","0,2"
CA-2015-115812,1706,85,"0,05","0,2"
CA-2015-115889,46,5,"0,11","0,2"
CA-2015-115889,363,105,"0,29",0
CA-2015-115973,3,0,"0,16","0,2"
CA-2015-115980,3,1,"0,44",0
CA-2015-115980,7,3,"0,41",0
CA-2015-116190,26,9,"0,36",0
CA-2015-116190,68,18,"0,27",0
CA-2015-116190,163,77,"0,47",0
CA-2015-116239,355,18,"0,05",0
CA-2015-116246,3785,421,"0,11","0,1"
CA-2015-116407,4,0,"0,11","0,2"
CA-2015-116407,25,8,"0,31","0,2"
CA-2015-116407,333,29,"0,09","0,2"
CA-2015-116568,186,14,"0,08","0,2"
CA-2015-116666,1800,240,"0,13","0,4"
CA-2015-116673,6,2,"0,32",0
CA-2015-116757,21,7,"0,34","0,2"
CA-2015-116757,26,9,"0,35","0,2"
CA-2015-116785,13,6,"0,46",0
CA-2015-116785,21,6,"0,29",0
CA-2015-116834,63,19,"0,3",0
CA-2015-116834,345,59,"0,17",0
CA-2015-116904,13,6,"0,5",0
CA-2015-116904,32,16,"0,48",0
CA-2015-116904,405,16,"0,04",0
CA-2015-116904,9450,4630,"0,49",0
CA-2015-116932,99,26,"0,26",0
CA-2015-116932,273,27,"0,1","0,2"
CA-2015-116932,802,50,"0,06","0,2"
CA-2015-117016,16,2,"0,15","0,2"
CA-2015-117317,13,7,"0,49",0
CA-2015-117345,18,6,"0,34","0,2"
CA-2015-117345,44,12,"0,28","0,2"
CA-2015-117345,63,10,"0,16","0,2"
CA-2015-117345,78,29,"0,38","0,2"
CA-2015-117429,130,21,"0,16","0,2"
CA-2015-117464,12,3,"0,28",0
CA-2015-117464,170,19,"0,11","0,2"
CA-2015-117464,237,69,"0,29",0
CA-2015-117464,718,72,"0,1","0,2"
CA-2015-117478,7,-5,"-0,77","0,7"
CA-2015-117639,618,173,"0,28",0
CA-2015-117639,2716,1276,"0,47",0
CA-2015-117709,47,21,"0,45",0
CA-2015-117765,20,6,"0,29",0
CA-2015-117765,32,15,"0,48",0
CA-2015-117765,162,45,"0,28",0
CA-2015-117765,430,112,"0,26",0
CA-2015-118192,3,-3,"-0,73","0,7"
CA-2015-118192,37,13,"0,35","0,2"
CA-2015-118276,9,-5,"-0,55","0,6"
CA-2015-118304,20,5,"0,26",0
CA-2015-118339,20,6,"0,29",0
CA-2015-118339,36,17,"0,48",0
CA-2015-118339,47,24,"0,5",0
CA-2015-118339,53,25,"0,47",0
CA-2015-118339,94,37,"0,39",0
CA-2015-118962,21,10,"0,47",0
CA-2015-118962,111,53,"0,48",0
CA-2015-118962,340,21,"0,06","0,2"
CA-2015-118976,3,2,"0,48",0
CA-2015-118976,5,1,"0,28",0
CA-2015-118976,21,9,"0,45",0
CA-2015-118976,498,129,"0,26",0
CA-2015-119032,4,1,"0,35",0
CA-2015-119144,80,-18,"-0,23","0,2"
CA-2015-119144,306,25,"0,08","0,15"
CA-2015-119144,345,10,"0,03",0
CA-2015-119151,276,-38,"-0,14","0,2"
CA-2015-119151,1118,56,"0,05",0
CA-2015-119172,17,6,"0,33","0,2"
CA-2015-119172,105,-173,"-1,65","0,8"
CA-2015-119375,58,27,"0,46",0
CA-2015-119375,124,15,"0,12",0
CA-2015-119375,2934,792,"0,27",0
CA-2015-119466,9,-7,"-0,88","0,6"
CA-2015-119529,6,3,"0,49",0
CA-2015-119977,124,56,"0,45",0
CA-2015-120096,32,3,"0,1","0,2"
CA-2015-120096,178,62,"0,35","0,2"
CA-2015-120243,12,5,"0,47",0
CA-2015-120278,12,6,"0,47",0
CA-2015-120278,23,6,"0,26",0
CA-2015-120278,37,10,"0,27",0
CA-2015-120278,246,69,"0,28",0
CA-2015-120411,11,3,"0,31","0,2"
CA-2015-120411,493,-70,"-0,14","0,3"
CA-2015-120432,26,7,"0,26",0
CA-2015-120474,47,13,"0,27",0
CA-2015-120474,2808,674,"0,24",0
CA-2015-120544,6,2,"0,3","0,2"
CA-2015-120544,6,-3,"-0,4","0,6"
CA-2015-120544,34,-87,"-2,55","0,8"
CA-2015-120670,800,240,"0,3","0,2"
CA-2015-120768,7,2,"0,27",0
CA-2015-120768,153,75,"0,49",0
CA-2015-120768,1820,164,"0,09",0
CA-2015-120775,2,-3,"-1,7","0,8"
CA-2015-120775,4,1,"0,2","0,2"
CA-2015-120775,5,2,"0,35","0,2"
CA-2015-120775,15,-4,"-0,25","0,2"
CA-2015-120775,32,-19,"-0,6","0,6"
CA-2015-120838,330,86,"0,26",0
CA-2015-120838,605,38,"0,06","0,2"
CA-2015-120852,19,-50,"-2,55","0,8"
CA-2015-120852,65,-8,"-0,13","0,2"
CA-2015-120887,88,38,"0,43",0
CA-2015-120950,44,21,"0,48",0
CA-2015-121006,4,2,"0,39",0
CA-2015-121006,13,6,"0,45",0
CA-2015-121006,16,7,"0,45",0
CA-2015-121006,63,12,"0,19",0
CA-2015-121006,535,161,"0,3",0
CA-2015-121006,564,113,"0,2",0
CA-2015-121167,17,6,"0,35","0,2"
CA-2015-121286,8,3,"0,33","0,2"
CA-2015-121286,58,5,"0,09","0,2"
CA-2015-121573,8,3,"0,36","0,2"
CA-2015-121573,49,18,"0,38","0,2"
CA-2015-121573,784,220,"0,28",0
CA-2015-121629,999,-200,"-0,2","0,4"
CA-2015-121664,141,53,"0,38","0,2"
CA-2015-121727,11,2,"0,16","0,2"
CA-2015-121762,82,23,"0,28",0
CA-2015-121762,239,5,"0,02",0
CA-2015-121762,240,86,"0,36",0
CA-2015-121769,172,-95,"-0,55","0,4"
CA-2015-122070,10,3,"0,34","0,2"
CA-2015-122070,248,121,"0,49",0
CA-2015-122217,111,49,"0,44",0
CA-2015-122336,18,1,"0,06","0,2"
CA-2015-122336,31,10,"0,33","0,2"
CA-2015-122336,72,8,"0,12","0,4"
CA-2015-122336,510,-408,"-0,8","0,7"
CA-2015-122567,1,-2,"-1,6","0,8"
CA-2015-122567,8,-14,"-1,75","0,8"
CA-2015-122588,53,20,"0,38",0
CA-2015-122609,25,-7,"-0,28","0,6"
CA-2015-122609,128,26,"0,2","0,2"
CA-2015-122679,20,6,"0,33",0
CA-2015-122749,480,134,"0,28",0
CA-2015-122882,32,4,"0,13","0,4"
CA-2015-122882,42,8,"0,2","0,2"
CA-2015-122882,65,-15,"-0,23","0,2"
CA-2015-122882,400,-559,"-1,4","0,7"
CA-2015-122931,4,1,"0,35","0,2"
CA-2015-122931,21,7,"0,33","0,2"
CA-2015-122931,55,18,"0,33","0,2"
CA-2015-122931,67,-20,"-0,3","0,4"
CA-2015-122931,409,-82,"-0,2","0,4"
CA-2015-122931,1802,-338,"-0,19","0,2"
CA-2015-123064,5,2,"0,31","0,2"
CA-2015-123127,17,4,"0,25",0
CA-2015-123225,10,4,"0,35","0,2"
CA-2015-123225,576,43,"0,08","0,2"
CA-2015-123253,4,1,"0,26","0,2"
CA-2015-123260,177,23,"0,13",0
CA-2015-123295,259,-26,"-0,1","0,2"
CA-2015-123316,8,3,"0,36","0,2"
CA-2015-123323,123,46,"0,38","0,2"
CA-2015-123344,212,8,"0,04",0
CA-2015-123400,18,-12,"-0,67","0,7"
CA-2015-123400,181,14,"0,08","0,2"
CA-2015-123477,65,6,"0,1","0,2"
CA-2015-123498,26,-44,"-1,7","0,8"
CA-2015-123498,74,27,"0,36","0,2"
CA-2015-123855,140,12,"0,09","0,2"
CA-2015-123925,40,11,"0,28",0
CA-2015-124023,9,3,"0,31",0
CA-2015-124079,5,-4,"-0,8","0,7"
CA-2015-124079,88,8,"0,09","0,2"
CA-2015-124247,1404,70,"0,05","0,2"
CA-2015-124394,11,-17,"-1,6","0,8"
CA-2015-124394,120,-18,"-0,15","0,2"
CA-2015-124429,359,7,"0,02",0
CA-2015-124429,567,-28,"-0,05","0,2"
CA-2015-124464,39,11,"0,28",0
CA-2015-124478,38,17,"0,45",0
CA-2015-124478,54,23,"0,42",0
CA-2015-124478,168,37,"0,22","0,1"
CA-2015-124478,300,84,"0,28",0
CA-2015-124478,550,275,"0,5",0
CA-2015-124513,66,17,"0,26",0
CA-2015-124618,480,90,"0,19","0,2"
CA-2015-124646,162,10,"0,06",0
CA-2015-124646,502,0,0,0
CA-2015-124688,29,13,"0,43",0
CA-2015-124688,580,168,"0,29",0
CA-2015-124688,1203,301,"0,25",0
CA-2015-124702,138,55,"0,4",0
CA-2015-124702,730,95,"0,13",0
CA-2015-124709,238,38,"0,16",0
CA-2015-124723,489,42,"0,09","0,3"
CA-2015-124730,12,6,"0,49",0
CA-2015-124730,13,5,"0,36","0,2"
CA-2015-124730,17,6,"0,34","0,2"
CA-2015-124730,93,45,"0,48",0
CA-2015-124730,280,78,"0,28",0
CA-2015-124737,4,1,"0,3","0,2"
CA-2015-124737,7,1,"0,08","0,2"
CA-2015-124737,16,5,"0,35","0,2"
CA-2015-124737,31,11,"0,35","0,2"
CA-2015-124737,144,11,"0,07","0,2"
CA-2015-124737,223,70,"0,31","0,2"
CA-2015-124807,24,3,"0,14","0,2"
CA-2015-124807,36,13,"0,36","0,2"
CA-2015-124856,19,9,"0,46",0
CA-2015-124856,78,38,"0,49",0
CA-2015-124856,117,36,"0,31",0
CA-2015-124856,1396,363,"0,26",0
CA-2015-125136,11,4,"0,35","0,2"
CA-2015-125136,96,31,"0,33","0,2"
CA-2015-125150,233,17,"0,08","0,2"
CA-2015-125171,14,7,"0,49",0
CA-2015-125514,6,3,"0,48",0
CA-2015-125514,26,8,"0,29",0
CA-2015-125514,36,11,"0,3",0
CA-2015-125542,173,-30,"-0,18","0,2"
CA-2015-125542,348,118,"0,34","0,2"
CA-2015-125556,44,21,"0,48",0
CA-2015-125556,833,233,"0,28",0
CA-2015-125612,21,6,"0,27",0
CA-2015-125612,40,19,"0,47",0
CA-2015-125612,102,27,"0,26",0
CA-2015-125682,10,5,"0,49",0
CA-2015-125731,22,8,"0,35","0,2"
CA-2015-125731,1487,149,"0,1","0,2"
CA-2015-125759,15,6,"0,38",0
