order_id,product_id,product_name,category,sub_category,manufacturer,unit_price,quantity,shipping_price
CA-2015-100881,AT&T-1020,AT&T TR1909W,Technology,Phones,AT&T,"125,83",3,"8,4"
CA-2015-100895,Sanford-1021,"Sanford Colorific Scented Colored Pencils, 12/Pack",Office Supplies,Art,Sanford,"4,5",2,"12,64"
CA-2015-100895,Mophie-1022,Mophie Juice Pack Helium for iPhone,Technology,Phones,Other,80,3,"12,64"
CA-2015-100895,Hot-1023,"Hot File 7-Pocket, Floor Stand",Office Supplies,Storage,Other,"178,5",2,"12,64"
CA-2015-100916,SANFORD-1024,SANFORD Liquid Accent Tank-Style Highlighters,Office Supplies,Art,Sanford,3,1,"5,2"
CA-2015-100916,Eldon-1025,"Eldon Base for stackable storage shelf, platinum",Office Supplies,Storage,Eldon,39,5,"5,2"
CA-2015-100916,Hon-1026,Hon 2111 Invitation Series Straight Table,Furniture,Tables,Hon,"147,75",4,"5,2"
CA-2015-100972,Xerox-1027,Xerox 1888,Office Supplies,Paper,Xerox,"55,33",3,"0,28"
CA-2015-101147,Staple-1028,Staple holder,Office Supplies,Appliances,Staple holder,10,1,"15,15"
CA-2015-101175,Acco-1029,Acco Perma 3000 Stacking Storage Drawers,Office Supplies,Storage,Acco,"21,04",6,"10,67"
CA-2015-101266,Xerox-1030,Xerox 1898,Office Supplies,Paper,Xerox,"6,5",2,"8,55"
CA-2015-101364,Lock-Up-1031,Lock-Up Easel 'Spel-Binder',Office Supplies,Binders,Other,"28,56",13,"10,09"
CA-2015-101392,Advantus-1032,Advantus Rolling Drawer Organizers,Office Supplies,Storage,Advantus,"38,43",7,7
CA-2015-101427,Eldon-1033,"Eldon Spacemaker Box, Quick-Snap Lid, Clear",Office Supplies,Art,Eldon,"3,33",3,"7,98"
CA-2015-101462,GE-1034,"GE 4 Foot Flourescent Tube, 40 Watt",Furniture,Furnishings,GE,15,4,"14,86"
CA-2015-101476,Epson-1035,"Epson WorkForce WF-2530 All-in-One Printer, Copier Scanner",Technology,Machines,Epson,70,1,"18,39"
CA-2015-101560,Crayola-1036,Crayola Colored Pencils,Office Supplies,Art,Crayola,"3,25",4,"9,62"
CA-2015-101560,GBC-1037,"GBC Twin Loop Wire Binding Elements, 9/16"" Spine, Black",Office Supplies,Binders,GBC,"15,33",3,"9,62"
CA-2015-101560,Xerox-1038,Xerox 1933,Office Supplies,Paper,Xerox,"12,29",7,"9,62"
CA-2015-101560,Eldon-1039,Eldon Cleatmat Plus Chair Mats for High Pile Carpets,Furniture,Furnishings,Eldon,"79,6",5,"9,62"
CA-2015-101602,ARKON-1040,ARKON Windshield Dashboard Air Vent Car Mount Holder,Technology,Phones,Other,"17,08",3,"15,45"
CA-2015-101602,Lifetime-1041,"Lifetime Advantage Folding Chairs, 4/Carton",Furniture,Chairs,Other,218,5,"15,45"
CA-2015-101770,Avery-1042,Avery Hole Reinforcements,Office Supplies,Binders,Avery,"6,67",1,"7,26"
CA-2015-101833,Southworth-1043,Southworth 100% Cotton The Best Paper,Office Supplies,Paper,Southworth,"11,33",3,"0,94"
CA-2015-101931,Serrated-1044,Serrated Blade or Curved Handle Hand Letter Openers,Office Supplies,Supplies,Other,3,2,"18,39"
CA-2015-101931,Avery-1045,Avery Non-Stick Binders,Office Supplies,Binders,Avery,"4,38",2,"18,39"
CA-2015-101931,Eldon-1046,Eldon Portable Mobile Manager,Office Supplies,Storage,Eldon,"28,2",5,"18,39"
CA-2015-101931,Premier-1047,Premier Automatic Letter Opener,Office Supplies,Supplies,Other,"240,5",2,"18,39"
CA-2015-101931,O'Sullivan-1048,O'Sullivan Living Dimensions 2-Shelf Bookcases,Furniture,Bookcases,O'Sullivan,"120,98",6,"18,39"
CA-2015-102008,Tops-1049,Tops Green Bar Computer Printout Paper,Office Supplies,Paper,Other,49,1,"10,09"
CA-2015-102085,Avery-1050,Avery 519,Office Supplies,Labels,Avery,"7,25",4,7
CA-2015-102274,Newell-1051,Newell 322,Office Supplies,Art,Newell,"1,67",3,"12,51"
CA-2015-102274,Logitech-1052,"Logitech B530 USB Headset - headset - Full size, Binaural",Technology,Phones,Logitech,37,1,"12,51"
CA-2015-102274,Space-1053,Space Solutions Commercial Steel Shelving,Office Supplies,Storage,Space Solutions,"64,67",3,"12,51"
CA-2015-102274,Multicolor-1054,Multicolor Computer Printout Paper,Office Supplies,Paper,Other,"104,83",6,"12,51"
CA-2015-102295,Global-1055,"Global Leather & Oak Executive Chair, Burgundy",Furniture,Chairs,Global,"151,25",1,"7,86"
CA-2015-102330,Alphabetical-1056,Alphabetical Labels for Top Tab Filing,Office Supplies,Labels,Other,"14,83",6,"9,86"
CA-2015-102330,HTC-1057,HTC One,Technology,Phones,HTC,100,4,"9,86"
CA-2015-102645,Xerox-1058,Xerox 195,Office Supplies,Paper,Xerox,"6,67",6,"9,59"
CA-2015-102652,Xerox-1059,Xerox 211,Office Supplies,Paper,Xerox,"6,33",3,"14,86"
CA-2015-102652,C-Line-1060,C-Line Cubicle Keepers Polyproplyene Holder With Velcro Backings,Furniture,Furnishings,C-Line,"4,71",7,"14,86"
CA-2015-102652,Xerox-1061,Xerox 194,Office Supplies,Paper,Xerox,55,1,"14,86"
CA-2015-102652,Tenex-1062,Tenex B1-RE Series Chair Mats for Low Pile Carpets,Furniture,Furnishings,Tenex,46,2,"14,86"
CA-2015-102673,Staples-1063,Staples,Office Supplies,Fasteners,Other,2,5,"7,75"
CA-2015-102673,Newell-1064,Newell 320,Office Supplies,Art,Newell,"4,17",3,"7,75"
CA-2015-102673,Avery-1065,Avery 513,Office Supplies,Labels,Avery,5,12,"7,75"
CA-2015-102673,Cisco-1066,Cisco IP Phone 7961G VoIP phone - Dark gray,Technology,Phones,Cisco,"135,97",9,"7,75"
CA-2015-102869,Xerox-1067,Xerox 210,Office Supplies,Paper,Xerox,"6,67",3,"6,23"
CA-2015-102869,Master-1068,"Master Caster Door Stop, Large Neon Orange",Furniture,Furnishings,Master Caster,"7,08",3,"6,23"
CA-2015-102869,Rosewill-1069,Rosewill 107 Normal Keys USB Wired Standard Keyboard,Technology,Accessories,Other,"13,54",6,"6,23"
CA-2015-102869,Polycom-1070,Polycom SoundPoint IP 450 VoIP phone,Technology,Phones,Polycom,"226,67",1,"6,23"
CA-2015-102988,Xerox-1071,Xerox 1957,Office Supplies,Paper,Xerox,"6,5",2,"1,91"
CA-2015-102988,Crayola-1072,Crayola Colored Pencils,Office Supplies,Art,Crayola,"3,29",7,"1,91"
CA-2015-102988,Newell-1073,Newell 321,Office Supplies,Art,Newell,"3,29",7,"1,91"
CA-2015-102988,AT&T-1074,AT&T CL82213,Technology,Phones,AT&T,29,1,"1,91"
CA-2015-102988,Martin-1075,Martin Yale Chadless Opener Electric Letter Opener,Office Supplies,Supplies,Martin-Yale,"832,8",5,"1,91"
CA-2015-103058,Case-1076,Case Logic 2.4GHz Wireless Keyboard,Technology,Accessories,Other,50,2,"23,55"
CA-2015-103086,G.E.-1077,G.E. Longer-Life Indoor Recessed Floodlight Bulbs,Furniture,Furnishings,G. E.,"6,25",2,"9,96"
CA-2015-103100,Avery-1078,Avery 487,Office Supplies,Labels,Avery,4,1,"22,9"
CA-2015-103100,Ibico-1079,Ibico Ibimaster 300 Manual Binding System,Office Supplies,Binders,Ibico,368,3,"22,9"
CA-2015-103191,SAFCO-1080,"SAFCO Commercial Wire Shelving, Black",Office Supplies,Storage,SAFCO,"138,33",3,"13,2"
CA-2015-103219,Eldon-1081,"Eldon 200 Class Desk Accessories, Black",Furniture,Furnishings,Eldon,"6,33",9,"10,09"
CA-2015-103310,Southworth-1082,Southworth 25% Cotton Premium Laser Paper and Envelopes,Office Supplies,Paper,Southworth,20,2,"11,02"
CA-2015-103310,Acme-1083,Acme Design Stainless Steel Bent Scissors,Office Supplies,Supplies,Acme,"6,83",6,"11,02"
CA-2015-103310,Hon-1084,Hon Pagoda Stacking Chairs,Furniture,Chairs,Hon,"321,25",1,"11,02"
CA-2015-103310,Wilson-1085,Wilson Electronics DB Pro Signal Booster,Technology,Phones,Other,358,5,"11,02"
CA-2015-103317,Wilson-1086,Wilson Jones Four-Pocket Poly Binders,Office Supplies,Binders,Wilson Jones,"6,67",5,"20,66"
CA-2015-103317,Advantus-1087,Advantus Panel Wall Certificate Holder - 8.5x11,Furniture,Furnishings,Advantus,"12,5",2,"20,66"
CA-2015-103317,Luxo-1088,Luxo Adjustable Task Clamp Lamp,Furniture,Furnishings,Luxo,"88,75",3,"20,66"
CA-2015-103331,Avoid-1089,Avoid Verbal Orders Carbonless Minifold Book,Office Supplies,Paper,Other,3,1,"14,31"
CA-2015-103331,Acrylic-1090,Acrylic Self-Standing Desk Frames,Furniture,Furnishings,Other,"2,75",4,"14,31"
CA-2015-103331,Xerox-1091,Xerox 1978,Office Supplies,Paper,Xerox,"5,67",3,"14,31"
CA-2015-103366,Logitech-1092,Logitech 910-002974 M325 Wireless Mouse for Web Scrolling,Technology,Accessories,Logitech,30,5,"22,25"
CA-2015-103373,Apple-1093,Apple iPhone 5,Technology,Phones,Apple,650,2,"10,45"
CA-2015-103401,Xerox-1094,Xerox 211,Office Supplies,Paper,Xerox,"6,5",2,"10,99"
CA-2015-103429,GBC-1095,"GBC Pre-Punched Binding Paper, Plastic, White, 8-1/2"" x 11""",Office Supplies,Binders,GBC,"16,25",2,"23,55"
CA-2015-103429,Xerox-1096,Xerox 1948,Office Supplies,Paper,Xerox,10,4,"23,55"
CA-2015-103429,Honeywell-1097,Honeywell Quietcare HEPA Air Cleaner,Office Supplies,Appliances,Honeywell,"78,67",3,"23,55"
CA-2015-103429,Geemarc-1098,Geemarc AmpliPOWER60,Technology,Phones,Other,"92,8",5,"23,55"
CA-2015-103492,Avery-1099,Avery Non-Stick Binders,Office Supplies,Binders,Avery,5,1,"9,94"
CA-2015-103492,GBC-1100,GBC Personal VeloBind Strips,Office Supplies,Binders,GBC,12,5,"9,94"
CA-2015-103492,Motorola-1101,Motorola Droid Maxx,Technology,Phones,Motorola,150,6,"9,94"
CA-2015-103492,Cisco-1102,Cisco 8x8 Inc. 6753i IP Business Phone System,Technology,Phones,Cisco,135,7,"9,94"
CA-2015-103527,Ampad-1103,"Ampad Poly Cover Wirebound Steno Book, 6"" x 9"" Assorted Colors, Gregg Ruled",Office Supplies,Paper,Ampad,"4,58",3,"7,39"
CA-2015-103590,Park-1104,Park Ridge Embossed Executive Business Envelopes,Office Supplies,Envelopes,Other,"15,5",4,"11,27"
CA-2015-103660,Polycom-1105,Polycom VVX 310 VoIP phone,Technology,Phones,Polycom,180,7,7
CA-2015-103702,Premier-1106,"Premier Elliptical Ring Binder, Black",Office Supplies,Binders,Premier,"30,48",7,"9,32"
CA-2015-103744,GBC-1107,GBC Plastic Binding Combs,Office Supplies,Binders,GBC,"6,67",3,"12,33"
CA-2015-103744,Staple-on-1108,Staple-on labels,Office Supplies,Labels,Staple-on labels,"2,92",3,"12,33"
CA-2015-103800,Message-1109,"Message Book, Wirebound, Four 5 1/2"" X 4"" Forms/Pg., 200 Dupl. Sets/Book",Office Supplies,Paper,Message Book,10,2,"11,99"
CA-2015-103807,Kingston-1110,Kingston Digital DataTraveler 8GB USB 2.0,Technology,Accessories,Kingston,6,1,"14,81"
CA-2015-103807,RSVP-1111,"RSVP Cards & Envelopes, Blank White, 8-1/2"" X 11"", 24 Cards/25 Envelopes/Set",Office Supplies,Paper,Other,5,3,"14,81"
CA-2015-103849,SanDisk-1112,SanDisk Cruzer 64 GB USB Flash Drive,Technology,Accessories,SanDisk,"36,25",2,"8,21"
CA-2015-103849,Deflect-o-1113,"Deflect-o EconoMat Studded, No Bevel Mat for Low Pile Carpeting",Furniture,Furnishings,Deflect-o,"41,25",4,"8,21"
CA-2015-103849,Xblue-1114,Xblue XB-1670-86 X16 Small Office Telephone - Titanium,Technology,Phones,Other,"126,25",1,"8,21"
CA-2015-103940,Eldon-1115,Eldon Gobal File Keepers,Office Supplies,Storage,Eldon,15,2,7
CA-2015-103940,Executive-1116,"Executive Impressions 12"" Wall Clock",Furniture,Furnishings,Executive Impressions,"17,5",2,7
CA-2015-103940,Eldon-1117,Eldon ProFile File 'N Store Portable File Tub Letter/Legal Size Black,Office Supplies,Storage,Eldon,"19,33",3,7
CA-2015-103940,GBC-1118,GBC Prestige Therm-A-Bind Covers,Office Supplies,Binders,GBC,"34,25",5,7
CA-2015-103989,Eldon-1119,Eldon Wave Desk Accessories,Furniture,Furnishings,Eldon,"2,08",3,"24,15"
CA-2015-103989,Avery-1120,Avery 501,Office Supplies,Labels,Avery,"3,75",4,"24,15"
CA-2015-103989,Document-1121,Document Clip Frames,Furniture,Furnishings,Other,"8,33",3,"24,15"
CA-2015-103989,Crate-A-Files-1122,Crate-A-Files,Office Supplies,Storage,Other,"10,83",3,"24,15"
CA-2015-103989,Avery-1123,"Avery Flip-Chart Easel Binder, Black",Office Supplies,Binders,Avery,"22,67",5,"24,15"
CA-2015-103989,Logitech Wireless-1124,"Logitech Wireless Boombox Speaker - portable - wireless, wired",Technology,Accessories,Logitech,"106,25",2,"24,15"
CA-2015-103989,Cisco-1125,Cisco 8x8 Inc. 6753i IP Business Phone System,Technology,Phones,Cisco,135,3,"24,15"
CA-2015-104178,Eldon-1126,"Eldon 200 Class Desk Accessories, Smoke",Furniture,Furnishings,Eldon,6,1,"14,86"
CA-2015-104178,Xerox-1127,Xerox 23,Office Supplies,Paper,Xerox,"6,5",4,"14,86"
CA-2015-104178,Portable-1128,Portable Personal File Box,Office Supplies,Storage,Other,"12,25",4,"14,86"
CA-2015-104178,SanDisk-1129,SanDisk Cruzer 32 GB USB Flash Drive,Technology,Accessories,SanDisk,19,5,"14,86"
CA-2015-104269,Global-1130,Global Deluxe High-Back Manager's Chair,Furniture,Chairs,Global,"286,25",2,"3,06"
CA-2015-104283,KI-1131,KI Adjustable-Height Table,Furniture,Tables,KI,86,1,"9,21"
CA-2015-104283,Sony-1132,Sony Micro Vault Click 16 GB USB 2.0 Flash Drive,Technology,Accessories,Sony,56,4,"9,21"
CA-2015-104283,SAFCO-1133,"SAFCO Commercial Wire Shelving, 72h",Office Supplies,Storage,SAFCO,"61,2",5,"9,21"
CA-2015-104402,Texas-1134,Texas Instruments TI-34 Scientific Calculator,Technology,Machines,Texas Instruments,22,3,"14,31"
CA-2015-104472,GBC-1135,GBC Standard Therm-A-Bind Covers,Office Supplies,Binders,GBC,25,3,"6,5"
CA-2015-104472,Aluminum-1136,Aluminum Document Frame,Furniture,Furnishings,Other,"12,17",6,"6,5"
CA-2015-104563,Newell-1137,Newell Chalk Holder,Office Supplies,Art,Newell,"4,2",5,7
CA-2015-104563,Contico-1138,"Contico 72""H Heavy-Duty Storage System",Office Supplies,Storage,Other,41,5,7
CA-2015-104563,Office-1139,Office Star - Task Chair with Contemporary Loop Arms,Furniture,Chairs,Office Star,"91,04",6,7
CA-2015-104563,Global-1140,"Global Leather and Oak Executive Chair, Black",Furniture,Chairs,Global,"301,25",2,7
CA-2015-104738,Acco-1141,Acco Hanging Data Binders,Office Supplies,Binders,Acco,"3,33",3,"1,99"
CA-2015-104738,Fashion-1142,Fashion Color Clasp Envelopes,Office Supplies,Envelopes,Other,"5,42",3,"1,99"
CA-2015-104738,Logitech-1143,Logitech 910-002974 M325 Wireless Mouse for Web Scrolling,Technology,Accessories,Logitech,30,2,"1,99"
CA-2015-104738,Plantronics-1144,"Plantronics CS 50-USB - headset - Convertible, Monaural",Technology,Phones,Plantronics,"136,25",2,"1,99"
CA-2015-104738,AT&T-1145,AT&T 1080 Corded phone,Technology,Phones,AT&T,"137,08",3,"1,99"
CA-2015-104773,Companion-1146,"Companion Letter/Legal File, Black",Office Supplies,Storage,Other,"37,5",2,"11,99"
CA-2015-104780,4009-1147,4009 Highlighters by Sanford,Office Supplies,Art,Other,4,8,"14,3"
CA-2015-104808,GBC-1148,"GBC Standard Recycled Report Covers, Clear Plastic Sheets",Office Supplies,Binders,GBC,"10,63",2,"6,12"
CA-2015-104829,Adams-1149,"Adams ""While You Were Out"" Message Pads",Office Supplies,Paper,Adams,"3,14",7,"9,69"
CA-2015-104976,Xerox-1150,Xerox 1987,Office Supplies,Paper,Xerox,"5,83",6,"10,99"
CA-2015-105165,Angle-D-1151,"Angle-D Binders with Locking Rings, Label Holders",Office Supplies,Binders,Angle-D,"7,5",2,"23,68"
CA-2015-105165,Dixon-1152,Dixon Ticonderoga Core-Lock Colored Pencils,Office Supplies,Art,Dixon,"9,17",3,"23,68"
CA-2015-105165,Belkin-1153,Belkin Standard 104 key USB Keyboard,Technology,Accessories,Belkin,"14,69",4,"23,68"
CA-2015-105165,Panasonic-1154,Panasonic KX TS3282B Corded phone,Technology,Phones,Panasonic,"82,08",3,"23,68"
CA-2015-105165,Riverside-1155,"Riverside Furniture Oval Coffee Table, Oval End Table, End Table with Drawer",Furniture,Tables,Riverside,"287,14",1,"23,68"
CA-2015-105172,Avery-1156,Avery 518,Office Supplies,Labels,Avery,"3,17",6,"10,99"
CA-2015-105249,Staple-1157,Staple remover,Office Supplies,Supplies,Staple remover,"3,5",2,"54,15"
CA-2015-105249,Avery-1158,Avery 489,Office Supplies,Labels,Avery,"10,25",4,"54,15"
CA-2015-105249,Sauder-1159,"Sauder Camden County Barrister Bookcase, Planked Cherry Finish",Furniture,Bookcases,Sauder,"120,88",4,"54,15"
CA-2015-105270,50-1160,50 Colored Long Pencils,Office Supplies,Art,Other,10,3,"14,86"
CA-2015-105270,Hon-1161,Hon Olson Stacker Stools,Furniture,Chairs,Hon,"141,25",1,"14,86"
CA-2015-105340,Wilson-1162,Wilson Jones Heavy-Duty Casebound Ring Binders with Metal Hinges,Office Supplies,Binders,Wilson Jones,35,1,"20,65"
CA-2015-105417,Acco-1163,"Acco Four Pocket Poly Ring Binder with Label Holder, Smoke, 1""",Office Supplies,Binders,Acco,"7,14",7,"9,94"
CA-2015-105417,Howard-1164,"Howard Miller 14-1/2"" Diameter Chrome Round Wall Clock",Furniture,Furnishings,Howard Miller,"64,17",3,"9,94"
CA-2015-105648,Bevis-1165,"Bevis Oval Conference Table, Walnut",Furniture,Tables,Bevis,"260,83",3,"14,3"
CA-2015-105872,Wilson-1166,Wilson Jones Legal Size Ring Binders,Office Supplies,Binders,Wilson Jones,"21,88",4,"10,09"
CA-2015-105893,Stur-D-Stor-1167,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",Office Supplies,Storage,Other,111,6,"10,24"
CA-2015-105984,Global-1168,Global Executive Mid-Back Manager's Chair,Furniture,Chairs,Global,"290,95",3,"52,85"
CA-2015-105984,Samsung-1169,Samsung Galaxy S III - 16GB - pebble blue (T-Mobile),Technology,Phones,Samsung,350,5,"52,85"
CA-2015-106054,Dixon-1170,"Dixon Prang Watercolor Pencils, 10-Color Set with Brush",Office Supplies,Art,Dixon,"4,33",3,"15,28"
CA-2015-106229,Bevis-1171,"Bevis Round Conference Table Top, X-Base",Furniture,Tables,Bevis,"179,33",3,"0,82"
CA-2015-106264,Eldon-1172,"Eldon Regeneration Recycled Desk Accessories, Smoke",Furniture,Furnishings,Eldon,"1,5",2,"14,3"
CA-2015-106264,Acme-1173,Acme Rosewood Handle Letter Opener,Office Supplies,Supplies,Acme,4,3,"14,3"
CA-2015-106376,netTALK-1174,netTALK DUO VoIP Telephone Service,Technology,Phones,Other,"52,5",4,"11,94"
CA-2015-106376,Hunt-1175,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",Office Supplies,Art,Hunt,"173,91",8,"11,94"
CA-2015-106439,Staples-1176,Staples,Office Supplies,Fasteners,Other,"3,67",3,"14,86"
CA-2015-106439,Newell-1177,Newell 325,Office Supplies,Art,Newell,4,3,"14,86"
CA-2015-106439,Avery-1178,"Avery Framed View Binder, EZD Ring (Locking), Navy, 1 1/2""",Office Supplies,Binders,Avery,10,2,"14,86"
CA-2015-106439,Fellowes-1179,"Fellowes Twister Kit, Gray/Clear, 3/pkg",Office Supplies,Binders,Fellowes,"7,92",3,"14,86"
CA-2015-106439,Xerox-1180,Xerox 1952,Office Supplies,Paper,Xerox,5,13,"14,86"
CA-2015-106439,Letter/Legal-1181,"Letter/Legal File Tote with Clear Snap-On Lid, Black Granite",Office Supplies,Storage,Other,16,5,"14,86"
CA-2015-106439,Novimex-1182,Novimex Fabric Task Chair,Furniture,Chairs,Novimex,"60,83",3,"14,86"
CA-2015-106439,Maxell LTO-1183,Maxell LTO Ultrium - 800 GB,Technology,Accessories,Maxell,28,9,"14,86"
CA-2015-106439,Tennsco-1184,Tennsco Regal Shelving Units,Office Supplies,Storage,Tennsco,"101,5",4,"14,86"
CA-2015-106572,Economy-1185,Economy Rollaway Files,Office Supplies,Storage,Other,165,2,"9,29"
CA-2015-106719,SlimView-1186,"SlimView Poly Binder, 3/8""",Office Supplies,Binders,Other,5,2,"47,64"
CA-2015-106726,Standard-1187,Standard Rollaway File with Lock,Office Supplies,Storage,Standard,"180,14",7,"18,39"
CA-2015-106803,Recycled-1188,Recycled Eldon Regeneration Jumbo File,Office Supplies,Storage,Other,"12,5",2,"11,84"
CA-2015-106803,Imation 32GB-1189,Imation 32GB Pocket Pro USB 3.0 Flash Drive - 32 GB - Black - 1 P ...,Technology,Accessories,Imation,30,4,"11,84"
CA-2015-106810,Electrix-1190,Electrix Halogen Magnifier Lamp,Furniture,Furnishings,Electrix,"194,38",2,"9,64"
CA-2015-106971,Logitech Gaming-1191,Logitech Gaming G510s - Keyboard,Technology,Accessories,Logitech,85,7,"12,54"
CA-2015-107139,Vinyl-1192,Vinyl Sectional Post Binders,Office Supplies,Binders,Other,"37,71",6,"14,86"
CA-2015-107153,Decoflex-1193,"Decoflex Hanging Personal Folder File, Blue",Office Supplies,Storage,Decoflex,"15,33",3,"13,83"
CA-2015-107181,Message-1194,"Message Book, Standard Line ""While You Were Out"", 5 1/2"" X 4"", 200 Sets/Book",Office Supplies,Paper,Message Book,"8,5",4,"14,3"
CA-2015-107181,GBC-1195,GBC Recycled Grain Textured Covers,Office Supplies,Binders,GBC,"34,58",3,"14,3"
CA-2015-107398,Insertable-1196,Insertable Tab Indexes For Data Binders,Office Supplies,Binders,Other,"3,33",3,"6,86"
CA-2015-107398,Wilson-1197,Wilson Jones Custom Binder Spines & Labels,Office Supplies,Binders,Wilson Jones,"5,83",4,"6,86"
CA-2015-107398,Cardinal-1198,"Cardinal Slant-D Ring Binder, Heavy Gauge Vinyl",Office Supplies,Binders,Cardinal,"8,75",8,"6,86"
CA-2015-107454,Avery-1199,Avery 499,Office Supplies,Labels,Avery,5,7,"10,09"
CA-2015-107454,Tensor-1200,Tensor Computer Mounted Lamp,Furniture,Furnishings,Tensor,"14,83",6,"10,09"
CA-2015-107524,Staple-1201,Staple envelope,Office Supplies,Envelopes,Staple envelope,"5,5",2,"10,09"
CA-2015-107524,Array-1202,"Array Parchment Paper, Assorted Colors",Office Supplies,Paper,Array,"7,2",5,"10,09"
CA-2015-107573,Staple-1203,Staple envelope,Office Supplies,Envelopes,Staple envelope,"9,58",3,"7,26"
CA-2015-107594,DIXON-1204,DIXON Ticonderoga Erasable Checking Pencils,Office Supplies,Art,Dixon,6,1,"11,08"
CA-2015-107594,Logitech-1205,"Logitech B530 USB Headset - headset - Full size, Binaural",Technology,Phones,Logitech,37,2,"11,08"
CA-2015-107706,Memo-1206,"Memo Book, 100 Message Capacity, 5 3/8” x 11”",Office Supplies,Paper,Other,"6,67",3,"9,96"
CA-2015-107755,Maxell-1207,Maxell DVD-RAM Discs,Technology,Accessories,Maxell,"16,43",7,"13,73"
CA-2015-107769,Digium-1208,Digium D40 VoIP phone,Technology,Phones,Other,129,2,"8,43"
CA-2015-107811,2300-1209,2300 Heavy-Duty Transfer File Systems by Perma,Office Supplies,Storage,Other,25,5,"14,74"
CA-2015-107811,Global-1210,Global Leather Executive Chair,Furniture,Chairs,Global,"351,25",2,"14,74"
CA-2015-107818,Prang-1211,Prang Colored Pencils,Office Supplies,Art,Prang,3,2,"6,1"
CA-2015-107818,Hunt-1212,"Hunt PowerHouse Electric Pencil Sharpener, Blue",Office Supplies,Art,Hunt,38,8,"6,1"
CA-2015-107818,Carina-1213,Carina Double Wide Media Storage Towers in Natural & Black,Office Supplies,Storage,Carina,81,6,"6,1"
CA-2015-107818,Hon-1214,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",Furniture,Chairs,Hon,244,5,"6,1"
CA-2015-107916,G.E.-1215,G.E. Longer-Life Indoor Recessed Floodlight Bulbs,Furniture,Furnishings,G. E.,"6,5",2,"17,82"
CA-2015-107916,Wilson-1216,"Wilson Jones 1"" Hanging DublLock Ring Binders",Office Supplies,Binders,Wilson Jones,"5,42",3,"17,82"
CA-2015-108147,Green-1217,"Green Canvas Binder for 8-1/2"" x 14"" Sheets",Office Supplies,Binders,Other,"42,5",2,"8,84"
CA-2015-108147,Tennsco-1218,"Tennsco Snap-Together Open Shelving Units, Starter Sets and Add-On Units",Office Supplies,Storage,Tennsco,"279,5",6,"8,84"
